발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,,
2012,2012010623,야간,금,1,1,0,0,0,대전,유성구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,984319,1811420,127.3253496,36.29997474,,
2012,2012012100,야간,토,1,1,0,0,0,충남,논산시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도부근,승용차,보행자,964196,1794944,127.1019824,36.1508998,,
2012,2012030900,야간,금,2,2,0,0,0,충남,연기군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,972541,1853545,127.1926801,36.67947302,,
2012,2012041120,야간,수,1,1,0,0,0,충남,청양군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,937827,1828332,126.8062042,36.45055405,,
2012,2012022916,주간,수,1,1,0,0,0,충남,부여군,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,933000,1801197,126.7546765,36.20561544,,
2012,2012021614,주간,목,1,1,0,0,0,대전,대덕구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,993846,1819579,127.4313995,36.37363954,,
2012,2012021719,야간,금,1,1,0,0,0,충남,천안시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,975497,1862677,127.2254699,36.7618729,,
2012,2012022702,야간,월,1,2,1,0,0,충남,보령시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,914817,1815524,126.5508651,36.33333287,,
2012,2012030820,야간,목,1,1,0,0,0,충남,부여군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,945263,1808924,126.8905447,36.27604665,,
2012,2012021709,주간,금,1,1,0,0,0,충남,예산군,차대차,측면충돌,측면충돌,기타,단일로,기타단일로,화물차,원동기장치자전거,935091,1838609,126.7748117,36.54301441,,
2012,2012031309,주간,화,1,1,0,0,0,충남,부여군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,승합차,이륜차,946215,1808923,126.9011441,36.27609118,,
2012,2012011806,주간,수,1,1,0,0,0,충남,태안군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,892009,1863010,126.2901245,36.75904161,,
2012,2012042203,야간,일,1,4,1,2,0,충남,서산시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,916596,1865372,126.5652835,36.78281733,,
2012,2012020221,야간,목,1,5,0,4,0,충남,아산시,차대차,추돌,주정차중 추돌,안전거리 미확보,교차로,교차로부근,화물차,화물차,958497,1879211,127.0340967,36.91032655,,
